data,timestamp,master_offset,s2_freq,path_delay,timestamp_diff,adjusted_Offset,adjusted_Path_Delay,is_attack,attack_value,PTPts
3401679.136,1739518832.688057,-84648.0,-191930.0,4337866.0,0.0555310249328613,-541446.0,3495673.0,0.0,0.0,3295068.164531025
3027850.71,1739518833.660581,1248722.0,1116045.0,4205505.0,0.0269544124603271,-594845.0,2020688.0,0.0,0.0,3512657.1359544126
2441336.27,1739518834.68434,-221002.0,20938.0,4146845.0,0.0514719486236572,-697642.0,1601302.0,0.0,0.0,2484227.433471949
2841172.218,1739518835.707657,-1011627.0,-835988.0,4415288.0,0.0744421482086181,-693638.0,2437950.0,0.0,0.0,2445904.0924421484
3347760.188,1739518836.678973,80180.0,-47669.0,4164132.0,0.0463142395019531,-79593.0,1938142.0,0.0,0.0,3273865.0303142397
3415659.674,1739518837.703154,77739.0,-26056.0,4280811.0,0.0696437358856201,-711192.0,2645663.0,0.0,0.0,3386625.184643736
3418512.368,1739518838.675029,171378.0,90905.0,4263093.0,0.0425648689270019,-219437.0,2103584.0,0.0,0.0,3443722.099564869
3345656.479,1739518839.749713,146281.0,117221.0,4237867.0,0.0659949779510498,-610639.0,2371545.0,0.0,0.0,3388091.484994978
3456477.392,1739518840.72242,-332188.0,-317363.0,4593095.0,0.0380342006683349,-123056.0,2281710.0,0.0,0.0,3302078.2770342007
3624945.373,1739518841.642848,159669.0,74837.0,4498985.0,0.0619230270385742,35543.0,2040831.0,0.0,0.0,3630148.974923027
3562717.934,1739518842.717629,150010.0,113079.0,4426364.0,0.0338721275329589,449552.0,2024713.0,0.0,0.0,3602559.9308721274
3279011.853,1739518843.638718,545010.0,553082.0,4429255.0,0.0574338436126709,474239.0,1515586.0,0.0,0.0,3521208.1234338437
2732717.735,1739518844.712075,431796.0,603371.0,4058029.0,0.0797095298767089,-221988.0,1580760.0,0.0,0.0,3017347.03470953
2339354.739,1739518845.633846,-92022.0,209092.0,3950795.0,0.0524895191192626,-558434.0,1273237.0,0.0,0.0,2445879.062489519
2414758.81,1739518846.656307,-621499.0,-347992.0,3836302.0,0.0236866474151611,-1413823.0,3470621.0,0.0,0.0,2249825.9516866473
2263423.592,1739518847.628841,724091.0,811149.0,3832707.0,0.0471134185791015,-1169259.0,1504900.0,0.0,0.0,2603734.8231134186
2183770.833,1739518848.651331,-1025416.0,-721131.0,3861058.0,0.0200400352478027,-641803.0,1773056.0,0.0,0.0,1872553.6810400353
2690865.49,1739518849.673747,-184752.0,-188092.0,3816006.0,0.0418429374694824,481921.0,812919.0,0.0,0.0,2559116.1088429373
2826754.583,1739518850.698405,50587.0,-8179.0,3744254.0,0.0657460689544677,-194641.0,658731.0,1.0,879977.0,2799927.263746069
3110597.572,1739518851.670183,-502024.0,-545613.0,3466114.0,0.0375058650970459,-1601937.0,1761011.0,1.0,1759955.0,2845878.7575058653
3938624.256,1739518852.693305,-905611.0,-1099808.0,3564686.0,0.0615770816802978,-401424.0,780371.0,1.0,2639933.0,3398292.5295770816
4922668.727,1739518853.665651,-315807.0,-781687.0,3194755.0,0.0333714485168457,-646836.0,1006726.0,1.0,3519911.0,4502967.123371448
5693752.803,1739518854.68851,-132792.0,-693414.0,2992682.0,0.0562405586242675,1090283.0,-913849.0,1.0,4399889.0,5328251.029240559
6184524.771,1739518855.661067,418971.0,-181489.0,2257463.0,0.0286183357238769,-323398.0,703567.0,1.0,4399889.0,6055272.3396183355
6093862.391,1739518856.683322,958806.0,484038.0,1921363.0,0.0521864891052246,1474092.0,-1513266.0,1.0,4399889.0,6290294.981186489
5609783.997,1739518857.655208,736867.0,549740.0,1723960.0,0.0231966972351074,-571129.0,-9039.0,1.0,4399889.0,5866768.673196698
5266978.585,1739518858.678963,126637.0,160571.0,1793196.0,0.0468738079071044,259011.0,-952881.0,1.0,4399889.0,5349800.893873808
5163464.286,1739518859.651955,29330.0,101255.0,1776800.0,0.018733263015747,-1739806.0,960704.0,1.0,4399889.0,5201724.949733263
5193533.196,1739518860.674848,-201860.0,-121136.0,1922758.0,0.0422475337982177,-1206818.0,598777.0,1.0,4399889.0,5127880.195247534
5309815.446,1739518861.646603,-64545.0,-44379.0,1956505.0,0.0147349834442138,-8490.0,-538459.0,1.0,4399889.0,5269138.807734983
5334658.226,1739518862.67022,63890.0,64692.0,1889162.0,0.0377759933471679,-1487807.0,896351.0,1.0,4399889.0,5347052.807775993
5412701.694,1739518863.641872,-202837.0,-182868.0,2111382.0,0.0099806785583496,-410315.0,52231.0,1.0,4399889.0,5317359.083980679
5453618.936,1739518864.664978,236159.0,195277.0,1905757.0,0.0328633785247802,-766961.0,233615.0,1.0,4399889.0,5519164.982863379
5434728.985,1739518865.689312,-156210.0,-126244.0,2122865.0,0.0567705631256103,-397839.0,30176.0,1.0,4399889.0,5371009.9057705635
5488954.592,1739518866.661771,115071.0,98174.0,2017266.0,0.0295486450195312,870334.0,-1286039.0,1.0,4399889.0,5512891.513548645
5307947.549,1739518867.684698,328589.0,346213.0,1755706.0,0.0523192882537841,398514.0,-1131285.0,1.0,4399889.0,5454907.489319288
5072858.917,1739518868.656948,51899.0,168100.0,1715331.0,0.024609088897705,-786994.0,-78870.0,1.0,4399889.0,5149826.375609089
4945958.028,1739518869.731348,11898.0,143668.0,1622238.0,0.0473577976226806,-13765.0,-1036734.0,1.0,4399889.0,5003844.227357797
