Seconds_sin,Seconds_cos,master_offset,freq,path_delay,OT
-0.9255013284534664,-0.3787443610548795,40825,19390,4385292,3026868.939
-0.9255288743606978,-0.37867704277473657,-19909,-29097,4426758,2984667.772
-0.9255564100709074,-0.3786097354488582,74040,58880,4426758,3022349.737
-0.9255839396037168,-0.3785424292568313,93793,100845,4385292,3024418.135
-0.9256114649677794,-0.37847511928817895,-28793,6397,4385292,3046263.616
-0.9256389799631731,-0.37840782070768086,9752,36304,4381459,3093286.825
-0.9256665020394398,-0.3783404908307699,-13248,16229,4381459,3109439.817
-0.9256940085773666,-0.3782731849919662,-27263,-1760,4381459,3118342.806
-0.9257215165160946,-0.37820586174614224,23283,40607,4381459,3114719.707
-0.9257490180520777,-0.3781385401881353,43470,67779,4334827,3112448.102
-0.9257765114122741,-0.378071224661861,204186,241536,4163071,3153385.236
-0.9258040000676505,-0.37800390667126416,-33102,65504,4163071,3073625.114
-0.9258314857136327,-0.3779365820627682,-75679,12996,4163071,3014479.634
-0.9258589743356256,-0.37786923616799434,486,66457,4163071,2986796.146
-0.9258864481486389,-0.3778019125609318,-95310,-29193,4163071,3040083.276
-0.9259139140353432,-0.3777345943857288,10464,47988,4163071,2907907.937
-0.9259413813624702,-0.37766725868224355,-182980,-142317,4310251,2886485.069
